StateCodes,State,Region,Division,Coast,Great Lakes,TotalC2010,TotalC2011,TotalC2012,TotalC2013,TotalC2014,TotalP2010,TotalP2011,TotalP2012,TotalP2013,TotalP2014,TotalE2010,TotalE2011,TotalE2012,TotalE2013,TotalE2014,TotalPrice2010,TotalPrice2011,TotalPrice2012,TotalPrice2013,TotalPrice2014,TotalC10-11,TotalC11-12,TotalC12-13,TotalC13-14,TotalP10-11,TotalP11-12,TotalP12-13,TotalP13-14,TotalE10-11,TotalE11-12,TotalE12-13,TotalE13-14,TotalPrice10-11,TotalPrice11-12,TotalPrice12-13,TotalPrice13-14,BiomassC2010,BiomassC2011,BiomassC2012,BiomassC2013,BiomassC2014,CoalC2010,CoalC2011,CoalC2012,CoalC2013,CoalC2014,CoalP2010,CoalP2011,CoalP2012,CoalP2013,CoalP2014,CoalE2010,CoalE2011,CoalE2012,CoalE2013,CoalE2014,CoalPrice2010,CoalPrice2011,CoalPrice2012,CoalPrice2013,CoalPrice2014,ElecC2010,ElecC2011,ElecC2012,ElecC2013,ElecC2014,ElecE2010,ElecE2011,ElecE2012,ElecE2013,ElecE2014,ElecPrice2010,ElecPrice2011,ElecPrice2012,ElecPrice2013,ElecPrice2014,FossFuelC2010,FossFuelC2011,FossFuelC2012,FossFuelC2013,FossFuelC2014,GeoC2010,GeoC2011,GeoC2012,GeoC2013,GeoC2014,GeoP2010,GeoP2011,GeoP2012,GeoP2013,GeoP2014,HydroC2010,HydroC2011,HydroC2012,HydroC2013,HydroC2014,HydroP2010,HydroP2011,HydroP2012,HydroP2013,HydroP2014,NatGasC2010,NatGasC2011,NatGasC2012,NatGasC2013,NatGasC2014,NatGasE2010,NatGasE2011,NatGasE2012,NatGasE2013,NatGasE2014,NatGasPrice2010,NatGasPrice2011,NatGasPrice2012,NatGasPrice2013,NatGasPrice2014,LPGC2010,LPGC2011,LPGC2012,LPGC2013,LPGC2014,LPGE2010,LPGE2011,LPGE2012,LPGE2013,LPGE2014,LPGPrice2010,LPGPrice2011,LPGPrice2012,LPGPrice2013,LPGPrice2014,GDP2010Q1,GDP2010Q2,GDP2010Q3,GDP2010Q4,GDP2010,GDP2011Q1,GDP2011Q2,GDP2011Q3,GDP2011Q4,GDP2011,GDP2012Q1,GDP2012Q2,GDP2012Q3,GDP2012Q4,GDP2012,GDP2013Q1,GDP2013Q2,GDP2013Q3,GDP2013Q4,GDP2013,GDP2014Q1,GDP2014Q2,GDP2014Q3,GDP2014Q4,GDP2014,CENSUS2010POP,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014
AL,Alabama,3,6,1,0,1931522,1905207,1879716,1919365,1958221,1419613,1400108,1433370,1463647,1353725,21630.5,24447.7,24192.8,24127,24146.5,17.82,20.1,19.96,19.02,18.64,98.63760289,98.66203515,102.109308,102.0244195,98.626034,102.3756739,102.1122948,92.48985582,113.0242019,98.95736613,99.72801825,100.0808223,112.7946128,99.30348259,95.29058116,98.00210305,169088,179611,181878,194432,186649,718684,651032,547004,565051,575912,493094,468671,488084,469162,414366,2135.6,2009.7,1808.8,1731.6,1677.3,2.97,3.09,3.31,3.06,2.91,310023,303652,294055,299751,308765,7833,7846.1,7665.7,7901.4,8363.3,26.44,27.08,27.32,26.47,27.2,1785688,1783839,1740315,1689491,1724891,138,135,141,141,141,0,0,0,0,0,84919,86313,70754,123071,90030,8704,8884,7435,12899,9467,544405,609288,677380,625869,651532,3222.2,3122.6,2595.8,3090.9,3521.2,6.65,5.72,4.28,5.38,5.81,13088,10343,8628,9094,8460,316.7,273.8,212,221.7,226.6,24.2,26.48,24.58,24.45,26.79,172033,175198,178520,179132,176220.75,178552,181046,183004,185090,181923,186696,188403,186620,187414,187283.25,190409,190133,192492,193387,191605.25,193223,196565,200215,200135,197534.5,4779736,4785822,4801695,4817484,4833996,4849377,12.45181625,12.28088177,12.02634207,11.99148272,10.18198977,10.05907053,10.30847083,10.28422637,2.269826484,2.221811238,1.717871249,1.707256346,1.032384089,1.169746399,1.165831562,1.157861006,-0.020443249,-0.168413541,0.396415887,0.420101549,1.011940839,1.001332858,1.562247448,1.577962555
AK,Alaska,4,9,1,0,653221,653637,649341,621107,603119,1738207,1641980,1563102,1513859,1475129,6473.9,8050.4,7884.5,7281.9,6890.6,20.13,24.91,25.09,24.6,24.43,100.0636844,99.34275446,95.65189939,97.10388065,94.46400803,95.1961656,96.84966176,97.44163756,124.3516273,97.93923283,92.35715645,94.62640245,123.7456533,100.7226014,98.04703069,99.30894309,4178,4247,4032,5168,5476,14548,15481,15521,14819,18225,33556,33524,31332,24917,22944,49.9,59.6,63,72.6,88.8,3.43,3.85,4.06,4.9,4.87,21315,21562,21893,21387,21034,912.4,1004.6,1035,1005.2,1055.8,43.29,47.13,47.84,48.37,51.27,634777,635981,629768,600660,581369,153,214,186,186,186,0,0,0,0,0,13982,13066,14988,13696,14633,1433,1345,1575,1435,1539,334978,339819,347228,332963,329585,479.2,545.1,513.9,495.4,480.8,6.41,6.61,6.26,6.78,6.99,1353,1247,1314,1272,1190,35.6,36.9,36,33.2,32.9,26.79,29.78,27.47,26.07,27.65,52307,53673,54846,56054,54220,55815,59539,59788,62131,59318.25,61498,62216,61718,61022,61613.5,60686,59632,60396,58849,59890.75,59040,59078,57776,56373,58066.75,710231,713856,722572,731081,737259,736732,16.29737098,15.29663544,15.24170151,15.22533041,5.452413905,5.419450171,5.520519771,5.759872347,10.84495707,9.877185271,9.721181743,9.465458066,2.123322575,3.784947302,3.203617691,2.86975972,-1.175137215,-1.949571184,-3.789313102,-13.75449375,0.94818536,1.835376118,-0.585695411,-10.88473403
AZ,Arizona,4,8,0,0,1383531,1424944,1395839,1414383,1422590,580948,617956,598039,594994,635050,19372.7,22628.6,22872.4,22841.1,22609.6,22.25,25.62,26.41,26.05,25.94,102.9932831,97.95746359,101.32852,100.580253,106.3702775,96.77695499,99.49083588,106.7321687,116.8066403,101.0773976,99.86315384,98.98647613,115.1460674,103.0835285,98.63687997,99.57773512,29289,28565,27267,26492,31481,457909,459909,420570,454865,447849,167930,174841,161374,163691,173337,829.1,917.2,879.9,946.8,944.6,1.81,1.99,2.09,2.08,2.11,248506,255708,256116,258159,260328,7058.8,7278.6,7361,7669.3,7764.4,28.4,28.46,28.74,29.71,29.83,1292346,1253992,1248032,1289119,1256577,339,345,345,345,345,0,0,0,0,0,64606,89135,63918,56432,58185,6622,9174,6717,5915,6118,336208,293134,339043,340375,315448,2198.8,2084.4,1802.3,2026.2,2155.7,6.86,7.45,5.52,6.19,7.15,7838,8759,6522,7576,7373,219.9,279.9,188.4,223.3,223.2,28.05,31.96,28.88,29.47,30.28,242824,246487,248985,251036,247333,250849,252785,255797,263051,255620.5,263989,267723,266222,266589,266130.75,267422,269470,271592,275806,271072.5,277139,280117,284216,284763,281558.75,2915918,2922297,2938430,2949300,2958765,2966369,13.11919153,13.11303338,12.93113735,12.84325384,10.0403926,10.10304481,9.874975986,9.866781072,3.078798927,3.009988569,3.056161366,2.976472768,0.976329387,1.042846734,1.090035401,1.091283336,1.3414718,-0.420875278,-0.580562333,-1.313050473,2.317801188,0.621971456,0.509473068,-0.221767136
AR,Arkansas,3,7,0,0,1120632,1122544,1067642,1096438,1114409,1247709,1391190,1472778,1432074,1454325,12269.4,14178.8,13755.5,14102.1,13884.9,16.9,19.67,19.98,19.54,18.87,100.170618,95.10914494,102.6971588,101.6390348,111.4995564,105.8646195,97.23624334,101.5537605,115.5622932,97.01455694,102.5197194,98.45980386,116.3905325,101.5760041,97.7977978,96.57113613,94865,97160,96248,95356,95963,293689,306119,296732,327099,339214,718,2985,2077,1433,1864,510.6,592.2,673.3,789.4,820.9,1.74,1.93,2.27,2.41,2.42,164439,163530,159885,159283,160638,3393.3,3446.6,3456.4,3686.7,3703.5,21.57,22.02,22.56,23.29,23.19,909827,932878,918078,936796,939788,773,750,808,808,808,0,0,0,0,0,35697,28738,20921,25329,25104,3659,2958,2198,2655,2640,274774,288906,300572,286352,274767,1791.7,1902.9,1496.5,1679,1849.4,7.23,7.36,5.53,6.44,7.44,10016,8992,7733,8864,9145,224.3,240.3,191,217.7,235.6,22.4,26.72,24.71,24.62,25.8,101063,104880,106687,107085,104928.75,107489,109096,110054,110874,109378.25,111113,112045,111813,111193,111541,115150,115863,117378,118215,116651.5,118742,120967,121792,122758,121064.75,6392017,6411999,6472867,6556236,6634997,6731484,13.36451617,13.13613071,13.17647865,12.99788628,7.47419492,7.483554317,7.666455441,7.742950445,5.89032125,5.65257639,5.51002321,5.254935835,1.967113977,2.023930581,2.141877109,2.129805145,1.36951366,5.13128187,3.910475996,6.280635868,3.336627637,7.15521245,6.052353105,8.410441013
CA,California,4,9,1,0,7760629,7777115,7564063,7665241,7620082,2532205,2634789,2334863,2390424,2413494,117090,135097.7,135932,137050.7,137719.8,20.97,24.35,24.97,24.85,25.31,100.2124312,97.26052656,101.3376145,99.41086001,104.0511728,88.61669758,102.3796257,100.9651008,115.3793663,100.6175531,100.822985,100.4882135,116.1182642,102.5462012,99.51942331,101.8511066,280124,282581,280963,294412,298473,54972,55264,43832,38151,39486,0,0,0,0,0,161.4,173.1,133.6,129.5,135.3,2.94,3.13,3.05,3.39,3.43,882107,893745,885544,891666,895939,33381.8,33919.1,34852.5,37028.1,39424.1,38.23,38.35,39.75,42.01,44.49,5741492,5550201,5687343,5755210,5702418,124981,124092,121269,119556,117226,12600,12552,12519,12307,12102,326152,413488,255384,226643,157213,33431,42557,26837,23755,16531,2325411,2196252,2456371,2483208,2417476,14914.1,14353.7,13009.6,14808.6,16127.9,6.97,7.08,5.72,6.51,7.39,63022,62639,55405,54438,51472,1669.8,1921,1492.5,1493.1,1424.7,27.58,31.26,27.66,27.94,28.42,1920145,1943428,1963650,2016517,1960935,2009857,2028547,2039061,2047926,2031347.75,2084370,2106228,2125468,2170343,2121602.25,2157886,2186852,2223967,2292221,2215231.5,2274103,2312827,2352770,2360282,2324995.5,37253956,37336011,37701901,38062780,38431393,38802500,13.58689192,13.13081487,13.22215746,13.10054383,6.355533987,6.326351457,6.553597226,6.623698225,7.23135793,6.804463415,6.668560231,6.476845599,3.923456719,3.94672024,4.207353154,4.177388805,-1.162079243,-1.173950696,-1.341226344,-0.830982325,2.761377475,2.772769544,2.866126809,3.34640648
CO,Colorado,4,8,0,0,1513547,1470445,1440781,1470844,1477177,2561459,2750097,2921385,2838193,3041634,16888.5,19269.7,19295.6,19670.7,19994.4,17.4,21.28,21.81,21.14,21.25,97.15225229,97.98265151,102.0865767,100.4305691,107.3644747,106.2284349,97.15230961,107.1679762,114.0995352,100.1344079,101.9439665,101.6455947,122.2988506,102.4906015,96.92801467,100.5203406,28210,30883,30680,35382,36073,382623,368871,370085,363532,350526,551825,586847,629645,529096,528242,609.9,637,689.4,703.4,683.5,1.59,1.73,1.86,1.93,1.95,180555,182400,183174,182343,182189,4786.2,4963.2,4987.6,5258.2,5345.7,26.9,27.61,27.63,29.01,29.52,1370758,1304903,1282352,1303825,1313834,721,741,759,759,759,0,0,0,0,0,15398,20235,14247,11572,16831,1578,2083,1497,1213,1770,510877,481614,461056,487445,499668,2574,2334.4,2064.6,2355.3,2686.4,6.6,6.79,6.32,6.35,7.13,16395,16036,15118,17952,16341,365.4,412.2,332.3,423.8,419,22.53,25.76,22.09,23.81,25.76,254636,255536,258470,263951,258148.25,261686,265084,268296,272119,266796.25,272831,277087,278751,281918,277646.75,284393,285932,290328,294583,288809,297651,303235,308580,312001,305366.75,5029196,5048575,5119661,5191709,5272086,5355866,12.96547405,12.55681835,12.53426697,12.47352265,6.297847532,6.343095049,6.439155201,6.461640023,6.667626519,6.213723298,6.095111764,6.011882628,1.749762692,2.107188473,2.074199657,2.010735464,5.183396609,5.553675215,6.977583181,7.587162607,6.933159301,7.660863687,9.051782838,9.597898071
CT,Connecticut,1,1,1,0,764970,739130,725019,754901,750019,203188,195792,205073,207118,197271,14245,15498.1,15126.6,15364.3,15483.4,25.62,28.13,28.66,27.69,27.84,96.62208976,98.09086358,104.1215472,99.35329268,96.36002126,104.7402345,100.9972059,95.24570535,108.7967708,97.60293197,101.571404,100.7751736,109.7970336,101.8841095,96.61549197,100.5417118,35716,33958,32800,34153,36011,28711,6081,9290,7679,9097,0,0,0,0,0,99.1,22.4,33.3,32.3,38.8,3.45,3.68,3.59,4.21,4.27,103697,101879,100628,101761,100157,5283.1,4881.5,4584.5,4669.1,5004,50.95,47.91,45.56,45.88,49.96,562060,557282,544358,560141,559695,20,19,21,21,21,0,0,0,0,0,3811,5513,2970,3835,4127,391,567,312,402,434,203814,236016,236260,241509,240614,1743.7,1788.9,1630.6,1922.3,2162,8.86,7.79,7.05,8.11,9.17,9425,10092,8988,10949,10083,270.2,323.1,281.3,330.7,329.9,28.67,32.01,31.29,30.21,32.71,225891,230757,232413,232368,230357.25,231390,234214,231981,231498,232270.75,237285,237674,238267,240063,238322.25,240034,240172,243540,245922,242417,246589,250651,252532,253283,250763.75,3574097,3579345,3590537,3594362,3599341,3596677,10.49752283,10.25790342,10.11023113,10.14422143,8.179493052,8.098652465,8.197169108,8.220935523,2.318029781,2.159250951,1.913062021,1.923285906,4.501329311,4.552325649,4.753601865,4.730949811,-3.384435058,-5.611491546,-4.731638212,-7.286251924,1.116894253,-1.059165898,0.021963654,-2.555302113
DE,Delaware,3,5,1,0,250212,272568,273728,273716,274013,3575,3976,3530,3818,4189,3584.1,3987.7,4040.4,3856.6,3848.5,23.5,25.32,24.83,24.28,23.77,108.9348233,100.4255819,99.99561609,100.1085066,111.2167832,88.78269618,108.1586402,109.7171294,111.2608465,101.3215638,95.45094545,99.78997044,107.7446809,98.06477093,97.78493758,97.89950577,6901,6781,5972,5977,6249,30253,17881,17384,18254,10238,0,0,0,0,0,101.3,61,58.3,58.4,31.5,3.35,3.41,3.35,3.2,3.08,39599,39181,39304,38719,38687,1389.5,1309.2,1266.4,1215.7,1239.2,35.09,33.73,32.48,32.11,33.16,171414,201518,221203,213411,213655,414,401,430,430,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56087,81710,104421,100106,106854,524.2,708.3,747.7,701.7,752.7,9.37,8.92,7.43,7.86,7.83,5323,4730,4306,4675,4872,145.8,143.4,129.8,139.5,154.3,27.4,30.31,30.15,29.84,31.67,56555,56918,58152,59070,57673.75,58760,59581,60648,60064,59763.25,61230,61132,60865,59870,60774.25,60295,60868,61092,63440,61423.75,63270,65382,66893,66394,65484.75,897934,899731,907829,916881,925240,935614,12.50304278,12.22879252,11.95686928,11.96654869,8.714510168,8.438601202,8.850667247,8.896990307,3.788532608,3.790191318,3.106202036,3.069558386,2.436433645,2.62288254,2.608949141,2.565488749,2.866848127,3.598380017,3.397170979,5.148173903,5.303281772,6.221262557,6.006120119,7.713662652
FL,Florida,3,5,1,0,4282673,4141711,4029903,4076406,4121680,510201,500907,442188,542570,553738,59825.6,67345.1,66380,66108.5,66413.6,22.05,25.41,25.56,25.13,24.91,96.70855094,97.30043936,101.1539484,101.1106352,98.178365,88.27746468,122.701204,102.0583519,112.569034,98.5669336,99.59099126,100.461514,115.2380952,100.5903188,98.31768388,99.12455233,246789,245557,244646,253961,250043,637416,552730,482984,505155,557882,0,0,0,0,0,2218.8,1959.7,1697.6,1736.5,1857.5,3.48,3.55,3.51,3.44,3.33,788887,768009,752941,757189,771379,24459.8,23880.2,23028.6,22678.3,24339.3,31.01,31.09,30.58,29.95,31.55,3491560,3357837,3327632,3273949,3350291,9516,9799,10056,10056,10056,0,0,0,0,0,1731,1769,1432,2425,2010,177,182,151,254,211,1180462,1235953,1348390,1245287,1246670,7967.6,7700.7,6982.5,6852.9,7468,6.91,6.33,5.27,5.59,6.04,20915,19205,17524,16807,16502,606.1,605.1,466.2,448.1,481.4,28.98,31.51,26.6,26.66,29.18,719622,728391,733761,737272,729761.5,726334,735398,735955,743290,735244.25,755874,759527,772349,770832,764645.5,785988,788550,800948,813888,797343.5,817288,830355,842257,852414,835578.5,18801310,18852220,19107900,19355257,19600311,19893297,11.23331539,11.13002763,10.95124579,10.86591025,9.193648492,9.03425582,9.431565726,9.475052267,2.039666893,2.095771806,1.519680062,1.390857984,5.819212373,5.597252456,5.783717491,5.687300082,5.540393445,5.125320316,4.918783369,7.01612271,11.35960582,10.72257277,10.70250086,12.70342279
GA,Georgia,3,5,1,0,3100144,2982837,2767491,2782782,2850990,561796,549483,555238,581082,597955,37231.8,42315.7,39837.2,39938.5,39727.8,18.25,21.49,21.73,21.37,20.95,96.216079,92.78049722,100.5525221,102.4510723,97.80827916,101.0473481,104.6545806,102.903721,113.6547253,94.14283587,100.2542849,99.47243887,117.7534247,101.1167985,98.34330419,98.03462798,204742,210583,207725,233509,252985,767906,634756,435546,426184,482657,0,0,0,0,0,2993.6,2400.3,1529.9,1371.6,1521.1,3.9,3.78,3.51,3.22,3.15,479971,465298,446900,445257,463315,12409.5,13108.5,12274.7,12647.6,13613.7,26.07,28.17,27.47,28.41,29.38,2324200,2142535,1946907,1928374,1985059,300,291,315,315,315,0,0,0,0,0,32407,26282,21281,35431,29142,3322,2705,2236,3714,3064,541691,532310,625008,635287,666771,4545.8,4165.2,3830.1,4417.7,4963.1,8.66,7.98,6.23,7.06,7.52,22767,18607,20507,17424,19087,561.3,503.2,527.1,433.8,517.8,24.68,27.04,25.7,24.9,27.13,400264,405744,409994,415994,407999,413285,416898,421639,423844,418916.5,430182,435187,437646,436896,434977.75,446687,447287,451124,458636,450933.5,460267,468705,477211,481335,471879.5,9687653,9714464,9813201,9919000,9994759,10097343,13.58401017,13.36596967,13.00236686,12.87958821,7.280747596,7.134531014,7.483770392,7.521064745,6.303262577,6.231438652,5.518596464,5.358523464,2.269190915,2.574066623,2.510525512,2.470423453,1.105815775,1.852200877,-0.576887568,2.200466631,3.375006689,4.426267501,1.933637944,4.670890084
HI,Hawaii,4,9,1,0,278046,287113,280171,281329,281206,16245,18378,20485,25465,27166,5854.8,7668.6,7840.3,7645.3,7378.6,30.43,38.34,40.14,38.6,37.38,103.2609712,97.58213665,100.413319,99.95627895,113.1301939,111.4647949,124.3104711,106.6797565,130.979709,102.2390006,97.51285027,96.51158228,125.9940848,104.6948357,96.163428,96.83937824,10448,10550,9604,11179,10950,17117,16080,16572,15306,17241,0,0,0,0,0,39.7,29.4,33.3,32.4,44.7,2.32,1.83,2.01,2.12,2.59,34176,33989,32889,32425,32330,2473.3,3090.5,3219,3153.6,3159.3,73.8,92.78,99.96,97.51,98,259018,265505,256754,252836,250786,1964,2183,2491,2630,2422,201,224,261,275,254,687,905,1090,747,895,70,93,115,78,94,2732,2744,2813,2805,2805,94.7,116.7,121.9,118.2,117,35.29,43.43,44.19,42.15,41.71,3155,3397,3441,3211,3192,99.1,116.1,127,104.6,106.6,31.63,34.23,36.91,32.58,33.38,66735,66879,68199,68341,67538.5,69168,69301,69546,70742,69689.25,71493,72193,72642,72073,72100.25,73657,73557,73767,75066,74011.75,75262,76243,76948,77246,76424.75,1360301,1363950,1378251,1392766,1408987,1419561,13.9719882,13.63831402,13.51725152,13.52283928,7.330607786,7.385735995,7.920041488,8.118653104,6.641380409,6.252578025,5.597210032,5.404186176,4.983588001,6.883393353,6.426690718,6.074494758,-0.728611798,-2.567288472,-0.663156245,-3.635080614,4.254976203,4.316104881,5.763534473,2.439414145
