StateCodes,State,Region,Division,Coast,Great Lakes,TotalC2010,TotalC2011,TotalC2012,TotalC2013,TotalC2014,TotalP2010,TotalP2011,TotalP2012,TotalP2013,TotalP2014,TotalE2010,TotalE2011,TotalE2012,TotalE2013,TotalE2014,TotalPrice2010,TotalPrice2011,TotalPrice2012,TotalPrice2013,TotalPrice2014,TotalC10-11,TotalC11-12,TotalC12-13,TotalC13-14,TotalP10-11,TotalP11-12,TotalP12-13,TotalP13-14,TotalE10-11,TotalE11-12,TotalE12-13,TotalE13-14,TotalPrice10-11,TotalPrice11-12,TotalPrice12-13,TotalPrice13-14,BiomassC2010,BiomassC2011,BiomassC2012,BiomassC2013,BiomassC2014,CoalC2010,CoalC2011,CoalC2012,CoalC2013,CoalC2014,CoalP2010,CoalP2011,CoalP2012,CoalP2013,CoalP2014,CoalE2010,CoalE2011,CoalE2012,CoalE2013,CoalE2014,CoalPrice2010,CoalPrice2011,CoalPrice2012,CoalPrice2013,CoalPrice2014,ElecC2010,ElecC2011,ElecC2012,ElecC2013,ElecC2014,ElecE2010,ElecE2011,ElecE2012,ElecE2013,ElecE2014,ElecPrice2010,ElecPrice2011,ElecPrice2012,ElecPrice2013,ElecPrice2014,FossFuelC2010,FossFuelC2011,FossFuelC2012,FossFuelC2013,FossFuelC2014,GeoC2010,GeoC2011,GeoC2012,GeoC2013,GeoC2014,GeoP2010,GeoP2011,GeoP2012,GeoP2013,GeoP2014,HydroC2010,HydroC2011,HydroC2012,HydroC2013,HydroC2014,HydroP2010,HydroP2011,HydroP2012,HydroP2013,HydroP2014,NatGasC2010,NatGasC2011,NatGasC2012,NatGasC2013,NatGasC2014,NatGasE2010,NatGasE2011,NatGasE2012,NatGasE2013,NatGasE2014,NatGasPrice2010,NatGasPrice2011,NatGasPrice2012,NatGasPrice2013,NatGasPrice2014,LPGC2010,LPGC2011,LPGC2012,LPGC2013,LPGC2014,LPGE2010,LPGE2011,LPGE2012,LPGE2013,LPGE2014,LPGPrice2010,LPGPrice2011,LPGPrice2012,LPGPrice2013,LPGPrice2014,GDP2010Q1,GDP2010Q2,GDP2010Q3,GDP2010Q4,GDP2010,GDP2011Q1,GDP2011Q2,GDP2011Q3,GDP2011Q4,GDP2011,GDP2012Q1,GDP2012Q2,GDP2012Q3,GDP2012Q4,GDP2012,GDP2013Q1,GDP2013Q2,GDP2013Q3,GDP2013Q4,GDP2013,GDP2014Q1,GDP2014Q2,GDP2014Q3,GDP2014Q4,GDP2014,CENSUS2010POP,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014
ID,Idaho,4,8,0,0,516120,516978,510869,526613,519935,130652,176717,154829,138799,154936,5683.2,6621.1,6720.4,6990.4,6980.2,17.14,19.65,20.19,20.2,20.43,100.1662404,98.81832496,103.0818077,98.7318961,135.257784,87.61409485,89.64664242,111.6261645,116.5030265,101.4997508,104.017618,99.8540856,114.6441074,102.7480916,100.0495295,101.1386139,33561,31192,31038,33286,40040,8527,7846,5186,7965,7472,0,0,0,0,0,20.1,19.9,15.8,21.8,24.4,2.35,2.53,3.04,2.73,3.26,77786,79403,80905,82598,79272,1491.9,1498.2,1642,1832.6,1841.5,19.18,18.87,20.3,22.19,23.23,250946,247718,248082,270907,260704,2120,2164,2213,1881,2252,72,63,75,40,79,89309,130241,104109,80845,85611,9154,13405,10940,8473,9002,85075,83947,90339,106356,94319,571.8,589.7,543.6,620.5,608.5,7.4,7.5,6.43,6.19,6.74,5268,5715,5318,6604,4962,126.8,152.3,118.5,159.5,128.6,24.08,26.65,22.29,24.15,25.92,55064,54955,55509,56153,55420.25,56118,56733,57302,58171,57081,57614,58384,59299,58882,58544.75,60020,60684,61356,62383,61110.75,62056,63061,63660,64679,63364,1567582,1570639,1583780,1595590,1612843,1634464,14.55228364,14.06567968,14.26989437,14.13170975,7.537996696,7.483872591,7.239047847,7.161626542,7.014286942,6.581807088,7.030846522,6.970083211,0.894617995,1.012150206,1.05285041,1.043941949,0.058330869,-0.163554415,2.986504627,4.738695787,0.952948863,0.848595791,4.039355037,5.782637736
IL,Illinois,2,3,0,1,3955091,3937616,3820547,3991089,4042313,2090939,2189423,2436702,2519993,2683815,45326.7,50877.8,47883.4,49122.2,51550,17.39,19.53,19.35,18.54,19.02,99.5581644,97.02690664,104.4638111,101.2834592,104.710037,111.2942542,103.4181857,106.5008911,112.2468655,94.11452539,102.5871179,104.9423682,112.3059229,99.07834101,95.81395349,102.5889968,147792,133873,132247,135697,138402,1069037,1052224,969294,1026925,1017855,767419,864228,1094204,1149607,1293541,1978.6,2093,2134,2128.4,2154.5,1.85,1.99,2.2,2.07,2.12,493923,487526,489758,483838,482935,13111.8,12722.1,11958.3,11518.5,13026.9,26.82,26.38,24.7,24.35,27.6,3225698,3212010,3044403,3266060,3304158,1965,1905,2042,2042,2042,0,0,0,0,0,1157,1365,1058,1148,1258,119,140,111,120,132,974412,997722,950711,1073734,1116417,7741.3,7471.4,6159.4,7260.8,9087.5,8.34,7.87,6.84,7.2,8.62,71671,66874,65531,78680,67730,1521.1,1615.6,1362.5,1770.1,1697.4,21.7,24.45,21.01,22.59,25.66,640693,650170,658742,663051,653164,663211,676695,683279,693891,679269,708680,714132,717827,709778,712604.25,719118,714502,717999,730359,720494.5,728853,739532,748907,750819,742027.75,12830632,12840097,12858725,12873763,12890552,12880580,12.64104635,12.44582335,12.25912663,12.20978574,7.907521987,7.86935177,8.001377099,8.052886462,4.733524362,4.576471579,4.257749527,4.156899278,2.242048293,2.308132816,2.505015173,2.518554482,-5.424762271,-5.690471905,-5.238097733,-7.369175712,-3.182713978,-3.382339088,-2.73308256,-4.85062123
IN,Indiana,2,3,0,1,2863396,2847188,2770158,2894764,2931630,987568,1062319,1046014,1106441,1123098,27475.6,32483.4,32334.8,33414.8,34151.9,14.89,17.72,18.07,17.86,17.94,99.43395884,97.29452358,104.498155,101.2735408,107.5692003,98.4651503,105.7768825,101.5054576,118.2263536,99.54253557,103.3400547,102.2059088,119.0060443,101.9751693,98.83785279,100.4479283,98571,105527,103946,108119,112781,1449371,1333442,1193465,1198611,1221492,790889,840986,826842,883260,886370,3786.7,4157.2,3883.1,3568.9,3513.9,2.61,3.12,3.25,2.98,2.88,361653,361051,358852,359923,364888,8035.5,8373.1,8611,9112,9583.6,22.55,23.55,24.4,25.65,26.63,2770123,2712351,2562415,2632450,2709827,4408,4499,4647,4647,4647,0,0,0,0,0,4426,3972,4125,3692,3530,454,409,434,387,371,580752,638237,657719,682842,727758,3583,4220.2,3874.9,4405.2,5266.2,6.51,6.99,6.2,6.69,7.49,25691,25085,20584,25008,22520,570.4,590,471.8,615.3,621.2,22.38,23.61,23.02,24.74,28.5,274597,281684,286679,289486,283111.5,287003,290373,293410,296773,291889.75,297436,301230,301829,299129,299906,309384,307444,311219,314630,310669.25,316595,321869,327382,331310,324289,6483802,6490308,6516560,6537632,6570713,6596855,12.83445023,12.72740588,12.71037648,12.63802093,8.901297376,8.982248767,8.860462553,8.841723848,3.933152854,3.745157111,3.849913929,3.796297084,1.458460254,1.44643192,1.586775447,1.59057466,-1.302542626,-1.954161544,-0.231150462,-1.192171554,0.155917628,-0.507729624,1.355624986,0.398403107
IA,Iowa,2,4,0,0,1499729,1498973,1440053,1518870,1541900,673102,689146,677875,730473,757014,14967.3,17308.3,16583.3,17434.4,18021.8,15.68,18.18,18.11,17.92,18.24,99.94959089,96.06930879,105.4732013,101.5162588,102.3835912,98.36449751,107.7592476,103.6333992,115.6407635,95.81125818,105.1322716,103.3692011,115.9438776,99.6149615,98.95085588,101.7857143,239261,231401,216577,227495,241138,493794,463138,422595,402402,401151,0,0,0,0,0,746.8,750.2,703.5,736.5,722.7,1.51,1.62,1.66,1.83,1.8,155059,155774,155959,159358,161053,3479.7,3451.3,3524.3,3769,3847.3,22.44,22.16,22.6,23.65,23.89,1187456,1155743,1092732,1125533,1137920,1170,1359,1281,1281,1281,0,0,0,0,0,9250,8991,7291,7147,8356,948,925,766,749,879,312941,309672,299315,331358,342431,2150.7,2052.8,1697.7,2045.9,2578.6,7.13,6.87,5.87,6.4,7.83,66062,64049,62281,70963,68131,1390.7,1559.8,1277.6,1558.7,1705.3,21.05,24.35,20.51,21.97,25.03,138764,140892,141968,143906,141382.5,145733,146986,150447,154442,149402,155538,159992,160729,160124,159095.75,163716,161582,163508,165175,163495.25,162963,170986,173357,175554,170715,3046355,3050295,3064904,3075935,3092341,3107126,12.37931914,12.52923257,12.56558559,12.47623384,9.225210823,9.133605359,8.970091481,8.938187751,3.154108313,3.39562721,3.595494106,3.538046093,1.5930798,1.588382304,1.732412752,1.731761779,0.091575107,-1.398831658,0.150122984,-0.261312787,1.684654907,0.189550646,1.882535736,1.470448992
KS,Kansas,2,4,0,0,1117631,1104843,1075435,1105160,1132354,812830,781704,793080,830704,880650,11846.4,13565.2,13438.2,14104,14646.3,17.7,20.64,21.28,21.42,21.46,98.85579409,97.33826435,102.7639978,102.4606392,96.17066299,101.4552823,104.7440359,106.0124906,114.5090492,99.06378085,104.9545326,103.8450085,116.6101695,103.1007752,100.6578947,100.1867414,39348,41131,38492,40855,45862,359908,346521,307585,326817,316572,3069,840,388,541,1474,546.4,608.8,566,580.8,568.5,1.52,1.76,1.84,1.78,1.8,137915,139074,137481,135959,138396,3351.6,3597.9,3733.1,3790.1,4032.6,24.52,26.11,27.42,28.68,29.97,997849,970721,913457,963626,965093,906,1005,974,974,974,0,0,0,0,0,129,143,99,139,154,13,15,10,15,16,280413,285318,268086,288840,289697,1705.6,1631.6,1248.6,1569.1,1754.8,7.4,6.89,5.72,6.97,7.73,12277,11583,9589,11228,11283,248.4,276.4,213.9,267.3,310.8,20.32,23.94,22.37,24.04,27.54,124521,127288,130299,132248,128589,132887,136535,139319,141876,137654.25,141819,141982,140863,141737,141600.25,142008,142080,142610,144396,142773.5,143374,146433,148199,148242,146562,2853118,2858949,2869965,2885966,2895801,2904021,14.00370123,13.75450818,13.95559524,13.79387161,8.790496768,8.675573074,8.301268453,8.284047338,5.213204457,5.078935102,5.654326783,5.509824267,1.750419015,2.264446881,2.106968337,2.050752592,-3.156968319,-1.789806028,-4.369598429,-4.760146087,-1.406549304,0.474640853,-2.262630092,-2.709393495
KY,Kentucky,3,6,0,0,1978527,1903208,1868483,1838898,1770741,2781466,2840858,2391118,2138426,2055121,19987.7,23231.2,22535.8,22805.3,22467,17.16,20.57,20.79,20.88,20.75,96.19317806,98.17544903,98.41662996,96.2935954,102.1352769,84.16886729,89.43205647,96.10437771,116.2274799,97.0066118,101.195875,98.5165729,119.8717949,101.0695187,100.4329004,99.37739464,51017,51474,49735,55168,57195,1009823,1010623,909705,914774,913452,2556093,2623804,2193276,1940060,1869335,2382.9,2466.4,2249.3,2199.9,2177.9,2.36,2.44,2.47,2.4,2.38,319259,305505,303833,289214,268998,6223.8,6339,6377.6,6471.4,6378.5,19.81,21.1,21.37,22.58,23.96,1874296,1846216,1735259,1737960,1754132,2544,2700,2712,2712,2712,0,0,0,0,0,25173,28850,22475,31249,29895,2580,2969,2362,3275,3144,239062,229056,232702,236423,261233,1497.9,1421.7,1191.5,1418,1762.4,7.13,7.05,5.71,6.65,7.4,33939,32032,32072,48525,36157,754.8,810,685.1,1091.1,950.1,22.81,25.61,21.62,22.52,26.58,160888,165533,167994,168733,165787,168209,171021,173109,176682,172255.25,177581,179346,179006,176906,178209.75,182081,181242,182882,184580,182696.25,184290,188121,189922,191739,188518,4339367,4349838,4370038,4383465,4399583,4413457,12.68710702,12.63402777,12.6516444,12.53165764,9.754955231,9.79493581,9.74969054,9.678158728,2.932151788,2.839091961,2.901953855,2.853498906,1.180980097,1.471182451,1.394732216,1.356853027,0.597026839,-1.271262488,-0.542180801,-0.858954458,1.778006935,0.199919964,0.852551415,0.497898569
LA,Louisiana,3,7,1,0,4385758,4388867,4255161,4196622,4279443,3170742,3972994,3789540,3208044,2852411,44999.5,53391.3,44310.8,44637.9,45399.7,15.06,17.96,15.46,15.67,15.49,100.0708885,96.95351898,98.62428237,101.9735158,125.3017117,95.38247478,84.6552352,88.91433534,118.6486517,82.99254747,100.7381948,101.7066215,119.2563081,86.08017817,101.3583441,98.85130823,112227,113514,113460,125789,144404,259750,269993,238811,228055,209973,54346,52440,53041,38079,35541,622.7,720.4,691.8,666.9,626.6,2.4,2.67,2.9,2.92,2.98,290292,294691,289101,292777,309224,6435.6,6425.6,5675.3,6349.7,6777.8,23.12,22.76,20.49,24.3,24.4,3974821,4015581,3886754,3785289,3810396,1708,1891,1842,1842,1842,0,0,0,0,0,10817,10144,6470,9966,10366,1109,1044,680,1045,1090,1483201,1536147,1586439,1499625,1563857,5515,5158.3,3929.7,4729.4,5792.4,5.02,4.59,3.27,4.19,4.9,489633,516784,565869,613368,617916,8201.9,10736.4,8111.2,8491.7,9278.9,16.76,20.79,14.35,13.86,15.03,224394,229511,235475,236106,231371.5,233276,235457,237374,241726,236958.25,244622,247067,242300,239246,243308.75,239585,236550,237721,239377,238308.25,239163,245780,249653,248567,245790.75,4533372,4545581,4575972,4604744,4629284,4649676,13.66017388,13.56343013,13.49876782,13.43879055,8.935978336,8.873599837,9.325724375,9.245863761,4.72419554,4.689830292,4.173043443,4.192926794,1.485492657,1.693549828,1.651933479,1.620655763,0.454747125,-0.167960756,-0.496857926,-1.3115694,1.940239782,1.525589072,1.155075553,0.309086363
ME,Maine,1,1,1,0,415065,413893,399670,409785,410530,151940,154764,152331,155380,151257,6340.6,7425.8,7164,7512.4,7557.6,18.77,21.93,22.03,21.86,22.62,99.71763459,96.5636046,102.5308379,100.1818027,101.8586284,98.42792898,102.0015624,97.34650534,117.1150995,96.47445393,104.8632049,100.6016719,116.8353756,100.4559964,99.22832501,103.4766697,114477,113899,113103,116850,111979,2279,1542,1299,1657,2142,0,0,0,0,0,8.7,6.5,6.1,8.1,10.5,3.82,4.2,4.69,4.87,4.89,39346,38949,39446,40449,40953,1480.8,1435.8,1365.7,1405.7,1518.4,37.64,36.86,34.62,34.75,37.08,277354,268118,244896,253371,252829,70,68,72,72,72,0,0,0,0,0,37174,38660,35519,33970,34457,3810,3979,3733,3560,3623,80988,75061,70451,66014,62355,624,569.2,530.9,590.9,623.1,7.88,7.84,7.62,9.07,10.21,10859,10996,10825,13201,12801,294.4,332,327.6,382.6,410.8,27.12,30.19,30.27,28.98,32.09,50692,51347,51789,51389,51304.25,51014,51176,51460,52273,51480.75,52430,53197,52795,52002,52606,53200,52902,53288,53809,53299.75,53803,54627,55378,56308,55029,1328361,1327361,1327930,1328592,1328702,1330089,9.51383483,9.633648809,9.594723053,9.524629804,9.812860436,9.599769925,9.775357939,9.88193506,-0.299025606,0.033878884,-0.180634886,-0.357305256,0.889544686,1.002062095,1.045424405,1.035809133,0.061763475,-0.467528596,-1.102625453,0.399429666,0.951308162,0.534533499,-0.057201047,1.435238798
MD,Maryland,3,5,1,0,1464503,1410012,1368600,1395961,1400614,250812,272882,245197,248554,250058,21401.3,23062.5,22470.7,22856.9,22951.3,22.83,25.51,25.75,25.47,25.25,96.27921554,97.06300372,101.9991963,100.3333188,108.7994195,89.85458916,101.3691032,100.6050999,107.7621453,97.43392954,101.7186826,100.4130044,111.73894,100.9408075,98.91262136,99.13623871,51683,49917,49822,54874,53814,266067,241190,192334,183191,201220,58798,65871,54088,45290,46194,894.1,881.3,681.1,620.7,595.2,3.36,3.65,3.54,3.39,2.96,222925,217002,210908,211201,210465,8301,7590.5,6973.7,7215.5,7464.6,37.24,34.98,33.07,34.16,35.47,963419,900614,857053,847590,878993,548,532,570,570,570,0,0,0,0,0,16267,24748,15764,16477,15364,1667,2547,1657,1727,1616,217744,199223,216678,207422,217440,2099.6,1935.3,1802.8,1912.9,2151.4,9.94,10.03,8.63,9.42,10.21,13030,12743,9977,11389,12185,386.6,425.4,331.8,375,432.2,29.67,33.38,33.26,32.92,35.47,308313,313056,315436,321077,314470.5,318760,322296,326875,327839,323942.5,330817,330227,333833,330818,331423.75,334945,335558,337289,341896,337422,342513,349673,354088,354776,350262.5,5773552,5788101,5843833,5891819,5938737,5976407,12.64587643,12.39266468,12.31624279,12.26120305,7.507779876,7.40615008,7.857787918,7.951729329,5.138096554,4.986514597,4.458454869,4.309473725,4.541119301,4.71026237,4.914730973,4.860033584,0.062930206,-1.432046554,-1.51387644,-2.56732105,4.604049507,3.278215816,3.400854533,2.292712535
MA,Massachusetts,1,1,1,0,1416119,1397164,1363282,1428433,1437640,108868,103058,110384,102521,124671,24558,27485.1,26511.6,27681.7,27574.4,23.33,26.1,26.85,26.5,26.36,98.66148254,97.57494467,104.7789819,100.6445525,94.66326193,107.1086184,92.87668503,121.6053296,111.9191302,96.45808092,104.4135397,99.6123793,111.8731247,102.8735632,98.69646182,99.47169811,59866,59074,57348,60267,61735,83850,42963,24036,42208,29871,0,0,0,0,0,268.9,160,90.4,179.5,129.4,3.21,3.72,3.76,4.25,4.33,194905,189605,188729,188564,185849,8144.9,7842.4,7626.7,8019.9,8363.5,41.79,41.36,40.41,42.53,45,1107941,1073354,982397,1030817,1011008,764,962,859,859,859,0,0,0,0,0,9720,11161,8683,9460,8579,996,1149,912,992,902,447429,464018,430921,434893,433246,4170.3,4159.7,3407.9,4102.9,4599.2,9.4,9.06,7.98,9.5,10.78,9140,10672,9254,11098,11534,285.6,369.4,315.2,363.7,411.8,31.24,34.62,34.06,32.77,35.7,389912,396586,405956,404627,399270.25,403789,417002,414354,419546,413672.75,426409,432911,437129,432576,432256.25,434391,435111,442566,442495,438640.75,448221,451142,459390,466339,456273,6547629,6564073,6612270,6655829,6708874,6745408,11.10793792,10.88656333,10.90050411,10.88842942,8.198177598,7.901659462,8.120195413,8.178808799,2.909760318,2.984903866,2.780308698,2.709620625,5.312703229,5.278525582,5.589798741,5.542473393,-0.523665785,-1.63158264,-0.325484225,-2.431047603,4.789037444,3.646942942,5.264314516,3.11142579
MI,Michigan,2,3,0,1,2753536,2785212,2687926,2832425,2881550,626639,680857,626107,654767,682788,34591.5,39387.8,38965.2,40621.4,40740.1,18.47,20.84,21.46,20.48,20.01,101.1503754,96.50705225,105.3758548,101.7343796,108.6521905,91.95866386,104.5774923,104.2795376,113.865545,98.92707894,104.2504594,100.2922105,112.8316188,102.975048,95.4333644,97.70507813,129422,140472,140729,148084,150125,749285,691150,621633,658172,618479,0,0,0,0,0,1793.3,2074.4,1917.8,1901.6,1735.2,2.39,3,3.09,2.89,2.81,353651,358443,357640,351567,352508,10171.9,10846.5,11422.9,11520.6,11364.6,29.05,30.57,32.29,32.89,32.38,2305457,2253650,2186354,2304114,2329372,4898,5088,5193,5193,5193,0,0,0,0,0,12200,13188,11561,13539,15216,1251,1357,1215,1419,1600,758696,787337,804084,828483,878699,6595.8,6520.7,5628.3,6047.9,6993.8,9.24,8.76,7.38,7.59,8.26,41696,40051,35551,47132,46050,944.4,956.2,798.5,1145.7,1273.4,22.72,23.91,22.5,24.33,27.78,373593,386054,394845,394176,387167,395349,396078,400884,413128,401359.75,412761,416887,419650,420015,417328.25,428265,428285,431136,436760,431111.5,438271,445584,450840,454190,447221.25,9883640,9876498,9875736,9884781,9898193,9909877,11.54168182,11.44403256,11.41092335,11.38404701,9.100641477,9.015351167,9.05687891,9.124160002,2.44104034,2.428681395,2.354044443,2.259887006,1.825616282,1.87161095,2.029017477,2.028870051,-4.371657403,-3.394243177,-2.98681078,-2.895688474,-2.546041121,-1.522632227,-0.957793302,-0.866818423
MN,Minnesota,2,4,0,1,1857095,1850749,1816866,1858816,1912065,429062,425422,417674,405967,466967,20946.6,24297.6,24201.2,24881.5,25312.2,17.04,19.8,20.14,19.87,19.65,99.6582835,98.1692277,102.308921,102.864673,99.15163776,98.17874957,97.1970963,115.0258519,115.997823,99.603253,102.8110176,101.731005,116.1971831,101.7171717,98.65938431,98.89280322,163181,155130,150916,148505,162992,315438,315604,257875,267695,313073,0,0,0,0,0,573,635.5,538.1,566.5,642.6,1.82,2.01,2.09,2.12,2.05,231333,233834,231977,234214,234470,5653,5876.3,5970.3,6379.2,6459.9,24.72,25.43,26.06,27.69,28.04,1337325,1329595,1281593,1328816,1385193,1035,1003,1075,1075,1075,0,0,0,0,0,8199,7250,5339,4877,5216,840,746,561,511,548,427198,424978,430286,474891,489901,2797.8,2791.7,2252.3,2838.2,3646.8,7,7.01,5.56,6.31,7.88,30431,29366,27850,36574,39558,636.4,703.8,611.4,853.1,1042.8,21.12,24.08,22.05,23.4,26.76,263814,267791,272602,281717,271481,278284,285366,286476,287837,284490.75,293558,292212,297248,295897,294728.75,302171,303603,310549,312540,307215.75,312122,317697,324647,327059,320381.25,5303925,5310418,5348036,5380615,5422060,5457173,12.8300033,12.68565824,12.7797976,12.6814087,7.501838447,7.327295855,7.350401637,7.303456043,5.328164854,5.358362389,5.42939596,5.377952655,2.361505712,2.405707857,2.583619335,2.574078522,-0.628046056,-1.657431116,-0.414341818,-1.230969132,1.733459656,0.748276741,2.169277517,1.34310939
MS,Mississippi,3,6,1,0,1177620,1155456,1143099,1138181,1155549,448713,441341,390246,410271,402842,13314.3,15188.7,15314.7,15793.9,15948.5,17.9,20.82,20.75,21.33,20.78,98.11789881,98.93055209,99.56976605,101.5259436,98.35707902,88.4227842,105.1313787,98.18924564,114.0780965,100.8295641,103.1290198,100.9788589,116.3128492,99.66378482,102.7951807,97.42147211,71310,71184,84165,70216,71994,148463,107546,82456,97767,116537,41586,28822,30537,37197,39072,476.8,416.7,367.5,387.1,383,3.21,3.88,4.46,3.96,3.29,169533,168340,165099,166444,168582,4147.1,4202.5,4040.3,4373.3,4668.6,25.46,26,25.5,26.9,28.35,999309,944952,989634,942046,982217,855,1074,958,958,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444875,437873,499946,427323,440003,2222.8,2012.9,1640.5,1811.3,2129.2,5.73,5.16,3.82,4.86,5.47,11899,10531,8627,10027,10676,295,290.2,222.6,249.5,292.9,24.79,27.56,25.81,25.11,27.55,93035,95056,95862,95861,94953.5,94698,95975,97339,99349,96840.25,101616,102859,102497,101359,102082.75,103100,101970,104394,103615,103269.75,103190,105287,105339,105934,104937.5,2967297,2970811,2978464,2986137,2992206,2994079,13.35893869,13.22469013,12.84503081,12.76451088,9.793126053,9.731413719,9.820446903,9.880251274,3.565812641,3.493276415,3.024583902,2.884259603,0.623269222,0.922777567,0.784163773,0.751718303,-1.960911203,-1.889480956,-1.60546158,-3.134498274,-1.337641982,-0.966703389,-0.821297808,-2.382779971
